"Region","Health Service Delivery Area","Year","Gender","Total","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90+"
11,"East Kootenay",2021,"T",86826,661,676,755,759,786,802,830,932,834,848,776,856,879,879,804,772,805,779,722,748,920,868,772,906,844,866,887,887,961,1130,1079,1228,1131,1245,1238,1215,1253,1289,1415,1164,1222,1186,1101,1070,1158,1058,1081,962,1025,1101,1152,1127,1022,1063,1141,1167,1216,1318,1449,1455,1374,1552,1414,1485,1371,1316,1409,1272,1259,1129,1230,1180,1074,1046,934,854,715,707,669,497,578,420,439,316,368,309,296,175,203,204,756
12,"Kootenay Boundary",2021,"T",84117,563,562,594,668,669,685,836,744,722,757,791,700,732,810,729,750,683,712,801,717,867,740,830,577,694,795,792,815,803,953,1052,1005,1050,973,1040,1089,1209,1079,1129,1149,1069,1132,1069,991,1107,1036,1193,1052,1001,1128,1186,1136,1118,1087,1036,1160,1208,1332,1393,1381,1585,1467,1409,1493,1639,1473,1587,1329,1468,1297,1262,1287,1213,1135,1092,823,725,754,656,518,527,469,375,380,367,375,259,197,302,201,772
13,"Okanagan",2021,"T",407744,2862,2953,3071,3186,3368,3484,3526,3624,3647,3613,3625,3823,3914,3716,3764,3487,3632,3675,3651,3997,4349,4493,4567,4510,4438,4360,4356,4632,4661,4727,5172,5208,4947,4964,4979,5188,5194,5429,5269,5082,4847,4873,4551,4391,4601,4633,4434,4407,4634,4625,5029,5075,5019,4797,4968,5381,5908,6394,6497,6552,6973,6810,6808,6994,6907,6587,6498,6090,6112,5832,5574,5788,5556,5296,5213,4366,4036,3842,3631,3335,3129,2745,2611,2429,2174,2068,1870,1610,1445,1392,5264
14,"Thompson Cariboo Shuswap",2021,"T",242152,1803,1871,1953,2152,2137,2240,2351,2178,2309,2335,2442,2290,2358,2384,2304,2177,2374,2152,2213,2158,2622,2462,2624,2691,2819,2692,2880,2824,3168,2976,3067,3316,3138,3150,3282,3186,3168,3240,3110,3012,2879,2881,2573,2596,2626,2761,2631,2612,2915,2812,3184,3037,3228,2940,2986,3464,3678,4011,3933,3867,3990,4284,4106,4092,4171,4067,3824,3615,3519,3353,3359,3195,2979,3072,3017,2349,2129,2165,1976,1658,1449,1537,1232,1066,1037,939,821,710,620,526,2073
21,"Fraser East",2021,"T",337808,3071,3247,3676,3635,3880,3896,3924,3847,3907,3964,4029,4227,4089,4149,3816,3702,3741,3995,3730,3724,4082,4741,4418,4331,3820,4362,4152,4356,4227,4426,4502,4775,4579,4654,4750,4906,4834,4567,4732,4632,4583,4450,4038,4198,3937,4004,4016,3972,3964,4024,4213,4299,4083,4277,4203,4147,4733,4353,4935,4422,4545,4644,4529,4449,4241,4020,4177,4002,4076,3581,3430,3501,3534,3275,3339,2749,2419,2279,2159,2130,1843,1611,1382,1401,1363,1160,1135,863,967,726,3332
22,"Fraser North",2021,"T",712321,6061,6376,6501,6447,6782,6785,6875,7037,7277,6777,7048,7192,7027,6883,6862,6642,6704,7114,7135,8372,8981,9779,9569,10194,10215,10464,10243,10500,10244,10528,10845,10993,11128,10956,10663,11025,10917,10569,10657,10751,10527,10117,9325,9456,9299,9546,9198,9273,9359,9790,10371,10563,10659,10214,10009,10065,10224,10853,10931,10418,10045,9766,9651,9411,8631,8771,8111,7776,7083,6935,6551,6360,5828,5736,5570,4676,4206,3868,3892,3371,3196,2946,2760,2599,2427,2191,1892,1769,1741,1340,5907
23,"Fraser South",2021,"T",906964,8201,8567,8570,8812,9140,9114,9375,9679,9872,10186,9793,10101,10383,10365,9950,10111,10167,10223,10361,11497,12457,14700,16012,14784,14158,13554,13432,12736,12957,12852,12579,12736,12778,12825,12661,13022,12745,13160,12748,13110,12679,12732,12539,11771,11980,11874,11899,12085,11664,11880,12130,12528,12743,11822,11359,12131,12279,12566,12385,11732,11828,11636,11147,10902,10258,10042,10170,9578,8561,8474,8290,8145,7828,7595,7689,6181,5669,5407,4898,4498,4145,3952,3365,3046,2685,2460,2343,2083,1696,1594,7548
31,"Richmond",2021,"T",218520,1839,1876,1783,1913,1933,1932,1849,1952,2041,1765,1766,1732,1889,1806,1804,1804,1860,1965,1929,2381,2689,2688,2673,2873,3191,3262,3405,3436,3417,3233,3495,3395,3319,3182,3148,3136,2961,2881,2847,3084,2542,2536,2566,2521,2623,2458,2608,2543,2788,2839,2929,3263,3111,3270,3009,3121,3059,3605,3739,3418,3107,3180,3189,3256,3222,3129,3121,2737,2647,2592,2464,2401,2460,2486,2117,1676,1510,1549,1279,1317,1186,1071,992,824,852,858,739,750,546,506,2075
32,"Vancouver",2021,"T",721934,6280,6244,5668,5137,4993,4790,4739,4522,4633,4638,4604,4690,4961,4718,4737,5057,5239,5453,5601,6386,8020,9880,10211,11241,11788,13456,14347,15227,15913,16242,16080,16356,16160,14984,14338,14140,13546,12497,11851,11085,10622,10004,9400,9166,8910,9073,8847,8947,9157,9428,9810,9893,9902,9704,9275,9598,9691,10102,9931,9292,8961,8846,8140,8455,7983,8183,7604,7386,7023,7041,6805,6265,6176,5949,5401,4391,4014,3931,3778,3328,3159,2865,2777,2791,2544,2226,2069,1980,1668,1706,7285
33,"North Shore/Coast Garibaldi",2021,"T",306196,2234,2267,2356,2625,2665,2566,2835,2937,2969,2981,2989,3152,3058,3018,3209,2944,3150,3180,3298,3398,3784,3640,3330,3234,3243,3586,3258,3473,3468,3567,3678,3611,3674,3815,3939,3978,4210,4173,4089,4169,4200,4213,4125,4161,4162,3989,4265,4186,4112,4295,4766,4643,4283,4408,4299,4578,4417,4714,4814,4372,4556,4348,4413,4390,4337,4033,4115,3853,3841,3566,3657,3425,3341,3261,3409,2707,2565,2516,2307,2069,1991,1608,1564,1374,1394,1215,1065,969,994,819,3742
41,"South Vancouver Island",2021,"T",431925,3057,3101,3143,3270,3432,3589,3795,3821,3721,3838,3734,3875,3799,3774,3700,3421,3569,3795,4157,4260,5065,5652,5983,6173,6202,5739,5517,5209,5057,5666,5577,5831,6197,6004,6015,5969,6058,6452,5979,5932,5782,5746,5605,5299,5115,5058,5127,5209,5037,4916,5638,5566,5537,5098,5201,5380,6047,6311,6211,6081,6372,6398,6380,6144,6106,6125,6248,6332,6210,5698,5640,5761,5235,5470,5444,4136,4014,3807,3505,3005,2621,2437,2103,2078,1908,1861,1518,1479,1471,1272,6055
42,"Central Vancouver Island",2021,"T",299117,2001,2029,2243,2483,2474,2636,2848,2708,2876,2791,2640,2710,2750,2916,2637,2587,2580,2690,2603,2538,3109,2726,2879,2718,2849,2807,3145,3079,3207,3254,3308,3405,3609,3366,3543,3690,3632,3625,3813,3827,3531,3306,3413,3317,3151,3334,3189,3181,3264,3330,3715,3754,3711,3699,3685,3709,4273,4587,4670,4955,4928,4980,5024,5093,4997,5186,5139,5063,4985,4925,4759,4776,4332,4554,4359,3684,3239,3335,2873,2480,2549,2079,2089,1725,1494,1415,1320,1161,983,814,3672
43,"North Vancouver Island",2021,"T",135999,931,942,1059,1062,1228,1228,1311,1208,1331,1398,1381,1298,1226,1361,1256,1249,1147,1225,1250,1226,1348,1268,1341,1164,1233,1283,1357,1350,1424,1394,1505,1652,1529,1531,1624,1672,1637,1677,1741,1654,1752,1621,1773,1483,1591,1538,1649,1652,1562,1557,1710,1687,1570,1643,1640,1775,2091,2288,2207,2239,2334,2236,2447,2410,2398,2419,2283,2285,2194,2191,2107,2130,1857,2037,1907,1562,1277,1208,1321,1247,911,886,808,682,610,609,535,488,361,358,1172
51,"Northwest",2021,"T",77021,726,680,759,903,968,864,919,974,905,834,846,931,882,913,848,756,888,784,826,657,970,849,863,839,871,963,1047,963,1023,1175,1137,1149,1263,1221,1179,1086,1053,1160,1095,960,1017,984,896,910,892,937,965,998,935,989,1061,1090,1040,1068,1006,1123,1162,1074,1136,1163,1231,1198,1269,1085,1104,1075,1022,938,835,796,673,792,746,659,637,507,510,429,418,321,374,290,261,217,239,226,154,137,118,125,460
52,"Northern Interior",2021,"T",153113,1319,1306,1401,1661,1584,1699,1735,1737,1750,1696,1723,1793,1826,1847,1669,1573,1587,1683,1529,1409,1772,1973,2072,1948,2120,1991,2235,2259,2149,2330,2455,2222,2031,2189,2131,2232,2298,2160,1999,1960,2035,1932,1805,1707,1785,1768,1926,1818,1943,1920,2158,2000,2101,2074,2120,2057,2253,2329,2420,2406,2373,2331,2105,2184,2212,2117,1776,1877,1791,1714,1553,1531,1458,1391,1335,1032,1036,1001,832,808,616,611,586,558,405,406,277,282,242,261,802
53,"Northeast",2021,"T",72380,832,831,902,1150,1080,1125,962,1052,1032,1038,877,964,955,923,872,814,706,761,697,738,935,968,886,963,1037,1100,1142,1231,1294,1353,1335,1383,1301,1349,1246,1300,1259,1197,1266,1160,1110,999,949,901,904,960,859,780,810,847,912,850,851,846,849,806,845,909,946,958,857,860,865,821,763,750,669,615,616,491,417,453,403,382,416,311,267,277,272,203,222,180,165,169,142,161,98,122,104,84,318
